split,held_out,subset,model,n_test,rmse,mae,r2,pearson,spearman
lodo_001,TEMOZOLOMIDE,central_abs_le_100,xgboost_chemical_cell_clip_train,6001,5.293827091335119,3.6457868167302485,-0.03378561822304249,0.11279374076324342,0.054999544246243655
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,xgboost_chemical_cell_clip_train,6001,5.293827091335119,3.6457868167302485,-0.03378561822304249,0.11279374076324342,0.054999544246243655
lodo_001,TEMOZOLOMIDE,all,xgboost_chemical_only_clip_train,6001,5.348245218351251,3.6626760915038767,-0.0551485462484691,0.02172640892475321,0.012519313880993095
lodo_001,TEMOZOLOMIDE,central_abs_le_100,xgboost_chemical_only_clip_train,6001,5.348245218351251,3.6626760915038767,-0.0551485462484691,0.02172640892475321,0.012519313880993095
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,xgboost_chemical_only_clip_train,6001,5.348245218351251,3.6626760915038767,-0.0551485462484691,0.02172640892475321,0.012519313880993095
lodo_001,TEMOZOLOMIDE,all,xgboost_cell_only_clip_train,6001,5.145528680364649,3.5199132324898676,0.023322937619175477,0.16862848799230382,0.09586461573270233
lodo_001,TEMOZOLOMIDE,central_abs_le_100,xgboost_cell_only_clip_train,6001,5.145528680364649,3.5199132324898676,0.023322937619175477,0.16862848799230382,0.09586461573270233
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,xgboost_cell_only_clip_train,6001,5.145528680364649,3.5199132324898676,0.023322937619175477,0.16862848799230382,0.09586461573270233
lodo_002,SORAFENIB,all,mean,6008,6.102270440532905,4.198224657006682,-0.0005342331143687318,,
lodo_002,SORAFENIB,central_abs_le_100,mean,6008,6.102270440532905,4.198224657006682,-0.0005342331143687318,,
lodo_002,SORAFENIB,exactly_one_unseen,mean,6008,6.102270440532905,4.198224657006682,-0.0005342331143687318,,
lodo_002,SORAFENIB,all,median,6008,6.102204262134783,4.198076314913449,-0.0005125318822065683,,
lodo_002,SORAFENIB,central_abs_le_100,median,6008,6.102204262134783,4.198076314913449,-0.0005125318822065683,,
lodo_002,SORAFENIB,exactly_one_unseen,median,6008,6.102204262134783,4.198076314913449,-0.0005125318822065683,,
lodo_002,SORAFENIB,all,ridge_identity,6008,6.119407491453953,4.258074240744532,-0.006161739196491878,0.1326358512538602,0.11140747140922036
lodo_002,SORAFENIB,central_abs_le_100,ridge_identity,6008,6.119407491453953,4.258074240744532,-0.006161739196491878,0.1326358512538602,0.11140747140922036
lodo_002,SORAFENIB,exactly_one_unseen,ridge_identity,6008,6.119407491453953,4.258074240744532,-0.006161739196491878,0.1326358512538602,0.11140747140922036
lodo_002,SORAFENIB,all,ridge_identity_clip_train,6008,6.119246761943255,4.257923367069495,-0.006108885138179643,0.13267989599188962,0.11142467636504517
lodo_002,SORAFENIB,central_abs_le_100,ridge_identity_clip_train,6008,6.119246761943255,4.257923367069495,-0.006108885138179643,0.13267989599188962,0.11142467636504517
lodo_002,SORAFENIB,exactly_one_unseen,ridge_identity_clip_train,6008,6.119246761943255,4.257923367069495,-0.006108885138179643,0.13267989599188962,0.11142467636504517
lodo_002,SORAFENIB,all,xgboost_identity,6008,6.080926934017451,4.196513185534193,0.006452531338957179,0.09329547461275149,0.050147790112432866
lodo_002,SORAFENIB,central_abs_le_100,xgboost_identity,6008,6.080926934017451,4.196513185534193,0.006452531338957179,0.09329547461275149,0.050147790112432866
lodo_002,SORAFENIB,exactly_one_unseen,xgboost_identity,6008,6.080926934017451,4.196513185534193,0.006452531338957179,0.09329547461275149,0.050147790112432866
lodo_002,SORAFENIB,all,xgboost_identity_clip_train,6008,6.078024951060293,4.195482910472131,0.007400600561993209,0.09671613765542415,0.050781550875315766
lodo_002,SORAFENIB,central_abs_le_100,xgboost_identity_clip_train,6008,6.078024951060293,4.195482910472131,0.007400600561993209,0.09671613765542415,0.050781550875315766
lodo_002,SORAFENIB,exactly_one_unseen,xgboost_identity_clip_train,6008,6.078024951060293,4.195482910472131,0.007400600561993209,0.09671613765542415,0.050781550875315766
lodo_002,SORAFENIB,all,ridge_chemical_cell,6008,6.265275123775101,4.483993126050549,-0.054700967328136674,0.1367670049614109,0.09889427573818044
lodo_002,SORAFENIB,central_abs_le_100,ridge_chemical_cell,6008,6.265275123775101,4.483993126050549,-0.054700967328136674,0.1367670049614109,0.09889427573818044
lodo_002,SORAFENIB,exactly_one_unseen,ridge_chemical_cell,6008,6.265275123775101,4.483993126050549,-0.054700967328136674,0.1367670049614109,0.09889427573818044
lodo_002,SORAFENIB,all,ridge_chemical_cell_clip_train,6008,6.265892296708234,4.484848110433095,-0.0549087682426761,0.1367753227839602,0.09903720293055307
lodo_002,SORAFENIB,central_abs_le_100,ridge_chemical_cell_clip_train,6008,6.265892296708234,4.484848110433095,-0.0549087682426761,0.1367753227839602,0.09903720293055307
lodo_002,SORAFENIB,exactly_one_unseen,ridge_chemical_cell_clip_train,6008,6.265892296708234,4.484848110433095,-0.0549087682426761,0.1367753227839602,0.09903720293055307
lodo_002,SORAFENIB,all,xgboost_chemical_cell,6008,6.2759188793888985,4.450895978699611,-0.0582875663971687,0.13962913652040268,0.10960098639892639
lodo_002,SORAFENIB,central_abs_le_100,xgboost_chemical_cell,6008,6.2759188793888985,4.450895978699611,-0.0582875663971687,0.13962913652040268,0.10960098639892639
lodo_002,SORAFENIB,exactly_one_unseen,xgboost_chemical_cell,6008,6.2759188793888985,4.450895978699611,-0.0582875663971687,0.13962913652040268,0.10960098639892639
lodo_002,SORAFENIB,all,xgboost_chemical_cell_clip_train,6008,6.281899181757024,4.459190432673421,-0.06030540478718627,0.13828485773911153,0.10872833588723418
lodo_002,SORAFENIB,central_abs_le_100,xgboost_chemical_cell_clip_train,6008,6.281899181757024,4.459190432673421,-0.06030540478718627,0.13828485773911153,0.10872833588723418
lodo_002,SORAFENIB,exactly_one_unseen,xgboost_chemical_cell_clip_train,6008,6.281899181757024,4.459190432673421,-0.06030540478718627,0.13828485773911153,0.10872833588723418
lodo_002,SORAFENIB,all,xgboost_chemical_only_clip_train,6008,6.34218896857509,4.485059501414889,-0.08075538149003147,0.10116254188404986,0.09548126967862547
lodo_002,SORAFENIB,central_abs_le_100,xgboost_chemical_only_clip_train,6008,6.34218896857509,4.485059501414889,-0.08075538149003147,0.10116254188404986,0.09548126967862547
lodo_002,SORAFENIB,exactly_one_unseen,xgboost_chemical_only_clip_train,6008,6.34218896857509,4.485059501414889,-0.08075538149003147,0.10116254188404986,0.09548126967862547
