drug,pair_cell_count
LIDOFLAZINE,45
LOMERIZINE DIHYDROCHLORIDE,45
MANOALIDE,45
MILCICLIB (PHA-848125),45
MONATEPIL,45
ORY-1001,45
AG-881,44
AZD-3965,44
AZD3965,44
ELACRIDAR,44
EPZ-015666,44
EPZ005687,44
FLECAINIDE ACETATE,44
GALUNISERTIB,44
GSK-2256098,44
IRINOTECAN HYDROCHLORIDE,44
OLAPARIB,44
OSTOL,44
RIBOCICLIB,44
RIBOCICLIB (LEE011),44
TIC10 ISOMER,44
UNC1215,44
TETRAHYDROBERBERINE,44
803712-67-6,43
AFATINIB (BIBW2992),43
ALFACALCIDOL,43
APILIMOD,43
CHEMBL3781751,43
CHLORO-IB-MECA,43
EED226,43
LACIDIPINE,43
NCGC00510249-02,43
OTILONIUM BROMIDE,43
COMBRETASTATIN A4,42
EPZ015666,42
FENDILINE,42
FLUNARIZINE HYDROCHLORIDE,42
FLUSPIRILENE,42
GSK2256098,42
INK 128 (MLN0128),42
MORACIZINE,42
VORASIDENIB,42
CHEMBL574181,41
TARIQUIDAR,41
ARN-509,39
DILTIAZEM,39
DISOPYRAMIDE,39
GDC-0941,39
NCGC00346501-01,39
APALUTAMIDE,38
NCGC00162423-03,38
OBATOCLAX,38
PAC 1,37
BELINOSTAT,36
PP121,36
315703-52-7,35
BGJ398 (NVP-BGJ398),35
JK-184,35
PICTILISIB,35
PODOFILOX,35
PODOPHYLLOTOXIN,35
PP-121,35
866323-14-0,34
INFIGRATINIB,34
CHEMBL2140972,33
LDK378,33
942183-80-4,32
CERITINIB,32
SCH-772984,32
TOREMIFENE CITRATE,32
COLCHICINE,30
PF-3758309,30
SERTRALINE HYDROCHLORIDE,30
MYCOPHENOLATE MOFETIL,29
PRIMAQUINE DIPHOSPHATE,28
CLOMIFENE CITRATE,27
SUNITINIB MALATE,27
OMACETAXINE MEPESUCCINATE,26
FAVIPIRAVIR,25
3-DEAZANEPLANOCIN A,24
DOXORUBICIN HYDROCHLORIDE,24
SMDC914896,24
CYCLOSPORIN A,23
MLN9708,22
PIPERACETAZINE,22
S63845,21
HYDROCORTISONE,20
TELMISARTAN,20
ABT-199 (GDC-0199),19
J113397,19
TROGLITAZONE,19
TRICIRIBINE,19
ACALABRUTINIB,18
CHIDAMIDE,18
CYPRODIME,18
LLL-12,18
NOR-BINALTORPHIMINE,18
VENETOCLAX (ABT-199),18
SMDC-530602,18
SMDC873969,18
SB612111,17
BAZEDOXIFENE,16
KN-93,16
MOMETASONE FUROATE,16
NALTRINDOLE HYDROCHLORIDE,16
BETAMETHASONE,15
BUPRENORPHINE HYDROCHLORIDE,15
CORTIVAZOL,15
DEACETYL CORTIVAZOL,15
FLOXURIDINE,15
GSK-3787,15
GW-0742,15
GW-501516,15
KU-0060648,15
METHYLPREDNISOLONE,15
MK-0752,15
MK-767,15
MOCETINOSTAT (MGCD0103),15
PHA-793887,15
PIOGLITAZONE HYDROCHLORIDE,15
PREDNISONE,15
TPCK,15
SID-7969543,15
RO495,14
TIPIFARNIB,14
GSK690693,13
MC1568,13
TOFACITINIB,13
AZD7762,12
GSK-690693,12
HDACI-01,12
IDELALISIB,12
PI-103,12
RUCAPARIB,12
RU360,12
A-674563,11
A-769662,11
AG-14361,11
AMG-900,11
ANDARINE,11
AR-42,11
BICALUTAMIDE,11
BMS-777607,11
BMS-794833,11
BX-795,11
CANERTINIB (CI-1033),11
DOVITINIB,11
DOXERCALCIFEROL,11
GDC-0068,11
ICG-001,11
JNJ-38877605,11
JNJ-7706621,11
KU-0063794,11
KU-60019,11
LICOFELONE,11
LONIDAMINE,11
NECROSTATIN-1,11
OMEPRAZOLE,11
OSI-930,11
PF-04217903,11
PF-3845,11
PF-4708671,11
PF-573228,11
PH-797804,11
PLX-4720,11
QUERCETIN,11
SARACATINIB,11
SELICICLIB,11
SGX-523,11
SIMVASTATIN,11
SULFASALAZINE,11
TELATINIB,11
TW-37,11
VX-702,11
VX-745,11
WYE-354,11
YO-01027,11
ABT-702,10
AC-261066,10
ACADESINE,10
AG-041R,10
ALACEPRIL,10
AMG-47A,10
AMG-51,10
AMG-TIE2-1,10
ANAGRELIDE,10
AR-C155858,10
AZ 3146,10
AZ-23,10
BAY-41-8543,10
BD-1047,10
