split,held_out,model,subset,fit_predict_seconds,n_test,rmse,mae,r2,pearson,spearman
lodo_002,SORAFENIB,xgboost,all,0.3103342056274414,7609,50.895730314051136,13.712333532253409,-20.399405155929934,0.002059098244525189,0.015935759647115737
lodo_002,SORAFENIB,xgboost,central_abs_le_100,0.3103342056274414,7607,50.393960785616144,13.611144491229526,-36.92888005872309,0.0030007472909888634,0.015956822508095648
lodo_002,SORAFENIB,xgboost,exactly_one_unseen,0.3103342056274414,7609,50.895730314051136,13.712333532253409,-20.399405155929934,0.002059098244525189,0.015935759647115737
lodo_002,SORAFENIB,ridge_clip_train,all,0.14453625679016113,7609,10.53590488452101,4.947478871460859,0.0829718174698082,0.2890826925519918,0.2589569626453232
lodo_002,SORAFENIB,ridge_clip_train,central_abs_le_100,0.14453625679016113,7607,7.630618790058648,4.842049693002743,0.13037393706762035,0.36175422341534,0.25844630712290906
lodo_002,SORAFENIB,ridge_clip_train,exactly_one_unseen,0.14453625679016113,7609,10.53590488452101,4.947478871460859,0.0829718174698082,0.2890826925519918,0.2589569626453232
lodo_002,SORAFENIB,xgboost_clip_train,all,0.3299088478088379,7609,10.660850510187394,4.996849356968315,0.06109271790688453,0.2512188029545936,0.1847144490708891
lodo_002,SORAFENIB,xgboost_clip_train,central_abs_le_100,0.3299088478088379,7607,7.758156448066299,4.890863710353582,0.1010612571168873,0.32419885391791065,0.18387011361716638
lodo_002,SORAFENIB,xgboost_clip_train,exactly_one_unseen,0.3299088478088379,7609,10.660850510187394,4.996849356968315,0.06109271790688453,0.2512188029545936,0.1847144490708891
lodo_003,SUNITINIB,mean,all,0.00034308433532714844,7555,70.21818430408332,69.86188282421759,-97.78823434428314,,
lodo_003,SUNITINIB,mean,central_abs_le_100,0.00034308433532714844,7555,70.21818430408332,69.86188282421759,-97.78823434428314,,
lodo_003,SUNITINIB,mean,exactly_one_unseen,0.00034308433532714844,7555,70.21818430408332,69.86188282421759,-97.78823434428314,,
lodo_003,SUNITINIB,median,all,0.002386808395385742,7555,7.0677069589889125,4.546369291859696,-0.0008364220734229377,,
